idx     label   predict radius  correct time
0       3       5       0.00095 0       0:07:14.448174
1460    6       6       0.457   1       0:07:15.437097
1480    1       1       0.117   1       0:07:15.557203
1500    1       1       0.351   1       0:07:15.408939
1520    7       7       0.457   1       0:07:15.387939
1540    8       8       0.457   1       0:07:15.094318
1560    7       7       0.457   1       0:07:15.169549
1580    6       5       0.0505  0       0:07:15.276780
1600    8       8       0.101   1       0:07:15.309133
1620    5       3       0.0296  0       0:07:15.004679
1640    7       5       0.0086  0       0:07:15.007561
1660    3       3       0.398   1       0:07:15.144007
1680    6       6       0.457   1       0:07:15.114212
1700    5       -1      0.0     0       0:07:15.093532
1720    4       4       0.0997  1       0:07:14.952590
1740    1       1       0.0846  1       0:07:14.865997
1760    0       0       0.457   1       0:07:15.038614
1780    7       7       0.201   1       0:07:14.977213
1800    4       4       0.252   1       0:07:14.986970
1820    8       8       0.169   1       0:07:15.087074
1840    8       9       0.187   0       0:07:15.148630
1860    8       8       0.449   1       0:07:15.018312
1880    1       1       0.457   1       0:07:15.105009
1900    8       8       0.457   1       0:07:15.347253
1920    2       2       0.457   1       0:07:15.322569
1940    5       5       0.07    1       0:07:14.561674
1960    2       5       0.0713  0       0:07:14.998863
1980    9       9       0.457   1       0:07:14.861992
2000    1       1       0.393   1       0:07:14.965266
2020    9       9       0.457   1       0:07:14.670289
2040    0       0       0.309   1       0:07:14.690275
2060    5       3       0.0852  0       0:07:14.800880
2080    1       1       0.0307  1       0:07:14.768824
2100    2       2       0.423   1       0:07:14.608100
2120    4       -1      0.0     0       0:07:14.577377
2140    9       9       0.457   1       0:07:14.494544
2160    0       0       0.457   1       0:07:14.518060
2180    4       4       0.457   1       0:07:14.429425
2200    0       0       0.276   1       0:07:14.410690
2220    1       1       0.457   1       0:07:14.820609
2240    9       1       0.145   0       0:07:14.788807
2260    4       4       0.457   1       0:07:14.718116
2280    4       8       0.246   0       0:07:14.871443
2300    3       -1      0.0     0       0:07:15.139783
2320    5       2       0.176   0       0:07:14.835067
2340    7       7       0.457   1       0:07:15.223991
2360    7       7       0.205   1       0:07:15.192447
2380    8       8       0.457   1       0:07:15.082196
2400    0       -1      0.0     0       0:07:14.630588
2420    8       1       0.0994  0       0:07:15.129302
2440    7       7       0.457   1       0:07:15.478674
2460    9       9       0.417   1       0:07:15.352166
2480    8       8       0.457   1       0:07:15.376067
2500    4       -1      0.0     0       0:07:15.168135
2520    1       1       0.271   1       0:07:15.190981
2540    2       2       0.207   1       0:07:15.434092
2560    7       7       0.265   1       0:07:15.241664
2580    6       6       0.303   1       0:07:15.323594
2600    8       8       0.457   1       0:07:15.126215
2620    1       -1      0.0     0       0:07:15.247152
2640    7       7       0.457   1       0:07:15.414869
2660    3       3       0.299   1       0:07:15.031446
2680    0       0       0.32    1       0:07:14.849984
2700    9       9       0.0755  1       0:07:15.102336
2720    3       3       0.245   1       0:07:15.187508
2740    1       1       0.31    1       0:07:15.188577
2760    2       2       0.326   1       0:07:15.266477
2780    7       7       0.457   1       0:07:15.076425
2800    4       4       0.282   1       0:07:14.954970
2820    6       6       0.457   1       0:07:15.284092
2840    3       3       0.457   1       0:07:14.993275
2860    5       5       0.0344  1       0:07:15.154400
2880    4       4       0.457   1       0:07:15.251635
2900    3       2       0.0725  0       0:07:15.131777
2920    2       2       0.344   1       0:07:14.991621
2940    3       0       0.457   0       0:07:15.098373
2960    9       9       0.138   1       0:07:15.136714
2980    8       8       0.449   1       0:07:15.189942
3000    5       5       0.41    1       0:07:15.281583
3020    1       1       0.246   1       0:07:15.214075
3040    7       7       0.457   1       0:07:15.234410
3060    7       7       0.457   1       0:07:15.521650
3080    1       1       0.457   1       0:07:15.145895
3100    0       0       0.394   1       0:07:14.916042
3120    4       4       0.0636  1       0:07:15.363410
3140    8       8       0.457   1       0:07:15.233712
3160    6       2       0.11    0       0:07:15.087278
3180    3       3       0.121   1       0:07:15.199923
3200    5       -1      0.0     0       0:07:15.100301
3220    3       9       0.131   0       0:07:15.307001
3240    4       6       0.0501  0       0:07:15.031186
3260    7       7       0.368   1       0:07:15.103021
3280    3       5       0.269   0       0:07:14.736036
3300    4       4       0.0953  1       0:07:15.086300
3320    2       7       0.328   0       0:07:14.920477
3340    6       6       0.457   1       0:07:15.202716
3360    4       4       0.399   1       0:07:15.161462
3380    8       8       0.457   1       0:07:15.032225
3400    6       -1      0.0     0       0:07:15.185464
3420    5       7       0.0434  0       0:07:14.885995
3440    2       3       0.351   0       0:07:15.005099
3460    1       1       0.325   1       0:07:15.041582
3480    2       2       0.381   1       0:07:14.797617
3500    1       9       0.117   0       0:07:14.923333
3520    1       1       0.457   1       0:07:14.621880
3540    6       6       0.457   1       0:07:15.242492
3560    1       9       0.417   0       0:07:15.007616
3580    4       4       0.229   1       0:07:14.988652
3600    4       2       0.268   0       0:07:14.969132
3620    0       0       0.234   1       0:07:14.917919
3640    6       6       0.249   1       0:07:14.980170
3660    0       0       0.226   1       0:07:14.979622
3680    0       0       0.017   1       0:07:14.845468
3700    3       -1      0.0     0       0:07:14.832586
3720    2       2       0.286   1       0:07:14.897682
3740    0       0       0.457   1       0:07:14.621535
3760    7       7       0.457   1       0:07:14.896872
3780    4       4       0.291   1       0:07:14.602371
3800    9       9       0.457   1       0:07:14.839728
3820    0       -1      0.0     0       0:07:14.575808
3840    6       6       0.187   1       0:07:14.508176
3860    7       7       0.457   1       0:07:15.432778
3880    6       6       0.219   1       0:07:15.326423
3900    3       6       0.111   0       0:07:14.927098
3920    7       3       0.0689  0       0:07:15.056893
3940    6       6       0.184   1       0:07:14.994877
